"";"Lineage_Name";"parasiteGenus";"order";"family";"genus";"species";"continent";"country";"region";"site";"strategy_3";"distance_4";"Body_mass";"Territoriality";"Range_Size";"LocID";"ParasiteID";"Latitude";"Longitude"
"80";"AEGCAU03";"Leucocytozoon";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.93449845099999995";"weak";1940;"Loc 136";"Parasite 36";"39.95";"115.43"
"81";"AEGCAU03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_elegans";"Asia";"China";"";"Xiaolongmen Forest Park";"partial_mig";"short";"1.2263420869999999";"weak";305;"Loc 136";"Parasite 36";"39.95";"115.43"
"82";"AEGCAU03";"Leucocytozoon";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_pusilla";"Asia";"China";"";"Beijing Normal University Campus";"strict_mig";"long";"1.163459552";"weak";779;"Loc 135";"Parasite 36";"39.95";"116.35"
"83";"AEGCAU03";"Leucocytozoon";"Passeriformes";"Muscicapidae";"Ficedula";"Ficedula_parva";"Asia";"China";"";"Beijing Normal University Campus";"strict_mig";"long";"1.0334237550000001";"weak";518;"Loc 135";"Parasite 36";"39.95";"116.35"
"84";"AEGCAU03";"Leucocytozoon";"Passeriformes";"Paridae";"Parus";"Parus_major";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"1.210853365";"weak";3103;"Loc 136";"Parasite 36";"39.95";"115.43"
"85";"AEGCAU04";"Leucocytozoon";"Passeriformes";"Aegithalidae";"Aegithalos";"Aegithalos_caudatus";"Asia";"China";"";"Xiaolongmen Forest Park";"resident";"resident";"0.93449845099999995";"weak";1940;"Loc 136";"Parasite 37";"39.95";"115.43"
"86";"AEGCON01";"Haemoproteus";"Passeriformes";"Timaliidae";"Stachyris";"Stachyris_ruficeps";"Asia";"China";"";"Pingshan";"resident";"resident";"1.012837225";"weak";271;"Loc 105";"Parasite 38";"24.30";"97.83"
"87";"AEGCON01";"Haemoproteus";"Passeriformes";"Timaliidae";"Alcippe";"Alcippe_morrisonia";"Asia";"China";"";"Pingshan";"resident";"resident";"1.183554534";"weak";244;"Loc 105";"Parasite 38";"24.30";"97.83"
"88";"AEMO01";"Plasmodium";"Passeriformes";"Muscicapidae";"Ficedula";"Ficedula_albicollis";"Europe";"Hungary";"";"Pilis Mountains";"strict_mig";"long";"1.103461622";"weak";347;"Loc 167";"Parasite 39";"47.72";"19.02"
"89";"AEMO01";"Plasmodium";"Passeriformes";"Sylviidae";"Sylvia";"Sylvia_borin";"Africa";"Nigeria";"Plateau";"Aplori";"strict_mig";"long";"1.2600713880000001";"weak";1051;"Loc 90";"Parasite 39";"9.87";"8.97"
"90";"AEMO01";"Plasmodium";"Passeriformes";"Dicruridae";"Dicrurus";"Dicrurus_adsimilis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.605305046";"strong";1332;"Loc 43";"Parasite 39";"-11.13";"33.65"
"91";"AEMO01";"Plasmodium";"Passeriformes";"Ploceidae";"Euplectes";"Euplectes_capensis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.4844422079999999";"weak";413;"Loc 43";"Parasite 39";"-11.13";"33.65"
"92";"AEMO01";"Plasmodium";"Passeriformes";"Nectariniidae";"Nectarinia";"Nectarinia_venusta";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"partial_mig";"short";"0.81690383899999996";"weak";673;"Loc 43";"Parasite 39";"-11.13";"33.65"
"93";"AEMO01";"Plasmodium";"Passeriformes";"Ploceidae";"Ploceus";"Ploceus_ocularis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.4014005410000001";"none";430;"Loc 43";"Parasite 39";"-11.13";"33.65"
"94";"AEMO01";"Plasmodium";"Passeriformes";"Ploceidae";"Ploceus";"Ploceus_velatus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.4905203090000001";"none";378;"Loc 43";"Parasite 39";"-11.13";"33.65"
"95";"AEMO01";"Plasmodium";"Passeriformes";"Estrildidae";"Pytilia";"Pytilia_melba";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.1875207210000001";"weak";853;"Loc 43";"Parasite 39";"-11.13";"33.65"
"96";"AEMO01";"Plasmodium";"Passeriformes";"Ploceidae";"Quelea";"Quelea_quelea";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2692793899999999";"weak";1025;"Loc 43";"Parasite 39";"-11.13";"33.65"
"97";"AEMO01";"Plasmodium";"Passeriformes";"Muscicapidae";"Ficedula";"Ficedula_albicollis";"Europe";"Hungary";"";"Pilis Mountains";"strict_mig";"long";"1.103461622";"weak";347;"Loc 167";"Parasite 39";"47.72";"19.02"
"98";"AEMO01";"Plasmodium";"Passeriformes";"Muscicapidae";"Ficedula";"Ficedula_hypoleuca";"Europe";"United Kingdom";"";"Llanwrthwl";"strict_mig";"long";"1.139564266";"weak";979;"Loc 181";"Parasite 39";"52.25";"-3.50"
"99";"AEMO01";"Plasmodium";"Passeriformes";"Muscicapidae";"Ficedula";"Ficedula_albicollis";"Europe";"Sweden";"Gotlands Lan";"Hemse";"strict_mig";"long";"1.103461622";"weak";347;"Loc 197";"Parasite 39";"57.17";"18.33"
"100";"AEMO02";"Leucocytozoon";"Columbiformes";"Columbidae";"Columba";"Columba_palumbus";"Europe";"Sweden";"Skane Lan";"Krankesjön";"partial_mig";"variable";"2.6901960800000002";"none";1199;"Loc 191";"Parasite 40";"55.68";"13.43"
"101";"AEMO02";"Leucocytozoon";"Columbiformes";"Columbidae";"Streptopelia";"Streptopelia_turtur";"Europe";"Greece";"";"Antikythira Island";"strict_mig";"long";"2.120573931";"weak";2090;"Loc 122";"Parasite 40";"35.85";"23.30"
"102";"AFR002";"Haemoproteus";"Piciformes";"Lybiidae";"Trachyphonus";"Trachyphonus_vaillantii";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.84135947";"strong";415;"Loc 43";"Parasite 41";"-11.13";"33.65"
"103";"AFR002";"Haemoproteus";"Passeriformes";"Corvidae";"Corvus";"Corvus_albicollis";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"2.9513326609999999";"weak";250;"Loc 42";"Parasite 41";"-10.58";"33.80"
"104";"AFR005";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_brachypterus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"0.89265103400000001";"weak";813;"Loc 43";"Parasite 42";"-11.13";"33.65"
"105";"AFR006";"Plasmodium";"Passeriformes";"Fringillidae";"Emberiza";"Emberiza_flaviventris";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2610248340000001";"weak";785;"Loc 43";"Parasite 43";"-11.13";"33.65"
"106";"AFR006";"Plasmodium";"Passeriformes";"Malaconotidae";"Laniarius";"Laniarius_ferrugineus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.6702458529999999";"strong";87;"Loc 43";"Parasite 43";"-11.13";"33.65"
"107";"AFR006";"Plasmodium";"Passeriformes";"Malaconotidae";"Laniarius";"Laniarius_ferrugineus";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.6702458529999999";"strong";87;"Loc 42";"Parasite 43";"-10.58";"33.80"
"108";"AFR006";"Plasmodium";"Passeriformes";"Ploceidae";"Ploceus";"Ploceus_baglafecht";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.499687083";"none";208;"Loc 42";"Parasite 43";"-10.58";"33.80"
"109";"AFR008";"Haemoproteus";"Passeriformes";"Sturnidae";"Neocichla";"Neocichla_gutturalis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.8241258339999999";"none";42;"Loc 43";"Parasite 44";"-11.13";"33.65"
"110";"AFR008";"Haemoproteus";"Cuculiformes";"Cuculidae";"Chrysococcyx";"Chrysococcyx_klaas";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"partial_mig";"variable";"1.4372747969999999";"none";1422;"Loc 42";"Parasite 44";"-10.58";"33.80"
"111";"AFR008";"Haemoproteus";"Passeriformes";"Nectariniidae";"Nectarinia";"Nectarinia_afra";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.045322979";"weak";62;"Loc 42";"Parasite 44";"-10.58";"33.80"
"112";"AFR008";"Haemoproteus";"Passeriformes";"Pycnonotidae";"Andropadus";"Andropadus_tephrolaemus";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.583198774";"weak";14;"Loc 42";"Parasite 44";"-10.58";"33.80"
"113";"AFR009";"Plasmodium";"Passeriformes";"Malaconotidae";"Laniarius";"Laniarius_ferrugineus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.6702458529999999";"strong";87;"Loc 43";"Parasite 45";"-11.13";"33.65"
"114";"AFR009";"Plasmodium";"Passeriformes";"Fringillidae";"Tangara";"Tangara_nigrocincta";"South America";"Peru";"";"Quebrada Huacabamba";"resident";"resident";"1.230448921";"none";362;"Loc 27";"Parasite 45";"-6.58";"-77.55"
"115";"AFR013";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_erythrops";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.169380495";"strong";775;"Loc 43";"Parasite 46";"-11.13";"33.65"
"116";"AFR013";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_natalensis";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2159018130000001";"strong";887;"Loc 43";"Parasite 46";"-11.13";"33.65"
"117";"AFR013";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_rufilatus";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.053078443";"weak";317;"Loc 43";"Parasite 46";"-11.13";"33.65"
"118";"AFR013";"Plasmodium";"Passeriformes";"Estrildidae";"Pytilia";"Pytilia_afra";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2201080879999999";"weak";350;"Loc 43";"Parasite 46";"-11.13";"33.65"
"119";"AFR019";"Haemoproteus";"Passeriformes";"Ploceidae";"Euplectes";"Euplectes_ardens";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.279210513";"weak";504;"Loc 43";"Parasite 47";"-11.13";"33.65"
